entity_type,entity_id,matches,wins,win_rate,uses,pick_rate,avg_damage_per_use,hit_rate,crit_rate,avg_damage_at_tier0,avg_damage_at_tier1,avg_damage_at_tier2,avg_damage_at_tier3
"skill","wulfric_slash",50,0,0,475,0.6121134020618557,4.330526315789474,0.9010526315789473,0.1936842105263158,4.6521739130434785,4.413533834586466,5.180555555555555,6.3076923076923075
"skill","spider_web",49,0,0,137,0.17654639175257733,2.372262773722628,0.8686131386861314,0.1386861313868613,2.5348837209302326,2.6666666666666665,2.871794871794872,3.4285714285714284
"skill","spider_bite",49,0,0,164,0.211340206185567,2.841463414634146,0.8353658536585366,0.16463414634146342,3.106382978723404,3.3555555555555556,3.707317073170732,4.25
