entity_type,entity_id,matches,wins,win_rate,uses,pick_rate,avg_damage_per_use,hit_rate,crit_rate,avg_damage_at_tier0,avg_damage_at_tier1,avg_damage_at_tier2,avg_damage_at_tier3
"skill","wulfric_slash",100,0,0,941,0.6032051282051282,4.2242295430393195,0,0,4.546875,4.397163120567376,4.965277777777778,5.875
"skill","spider_web",97,0,0,284,0.18205128205128204,2.3204225352112675,0,0,2.5365853658536586,2.6621621621621623,2.8552631578947367,3.7
"skill","spider_bite",97,0,0,335,0.21474358974358973,2.9582089552238804,0,0,3.2061855670103094,3.269230769230769,3.6436781609195403,3.8333333333333335
